run [pow 10]	solution val	
767	0.221795	
768	0.221871	
769	0.22192	
770	0.222108	
771	0.222238	
772	0.222216	
773	0.222225	
774	0.22223	
775	0.222319	
776	0.222457	
777	0.22243	
778	0.222491	
779	0.222496	
780	0.222478	
781	0.222435	
782	0.222465	
783	0.222421	
784	0.222368	
785	0.222393	
786	0.222462	
787	0.222433	
788	0.222361	
789	0.222452	
790	0.222439	
791	0.222411	
792	0.222386	
793	0.222359	
794	0.222338	
795	0.222291	
796	0.222254	
797	0.222202	
798	0.222161	
799	0.222258	
800	0.22224	
801	0.222193	
802	0.222147	
803	0.222086	
804	0.222113	
805	0.222318	
806	0.222339	
807	0.222278	
808	0.222304	
809	0.22226	
810	0.222318	
811	0.22233	
812	0.222285	
813	0.22228	
814	0.222394	
815	0.222335	
816	0.222327	
817	0.222307	
818	0.222358	
819	0.222424	
820	0.222471	
821	0.222428	
822	0.222493	
823	0.222457	
824	0.222465	
825	0.222647	
826	0.222585	
827	0.222521	
828	0.22253	
829	0.222596	
830	0.222636	
831	0.222623	
832	0.22269	
833	0.222737	
834	0.222692	
835	0.222678	
836	0.222667	
837	0.222619	
838	0.222698	
839	0.222691	
840	0.222645	
841	0.222708	
842	0.222645	
843	0.222705	
844	0.222811	
845	0.222851	
846	0.2229	
847	0.222839	
848	0.22292	
849	0.222885	
850	0.222854	
851	0.222805	
852	0.222804	
853	0.222763	
854	0.222788	
855	0.222775	
856	0.222721	
857	0.222706	
858	0.22273	
859	0.222786	
860	0.222804	
861	0.222845	
862	0.222793	
863	0.222735	
864	0.222756	
865	0.222762	
866	0.222878	
867	0.222902	
868	0.222903	
869	0.223064	
870	0.223014	
871	0.222995	
872	0.222942	
873	0.222925	
874	0.222862	
875	0.222956	
876	0.222942	
877	0.223027	
878	0.223022	
879	0.222971	
880	0.222918	
881	0.222884	
882	0.222947	
883	0.223008	
884	0.223065	
885	0.223034	
886	0.222973	
887	0.222951	
888	0.222941	
889	0.22302	
890	0.22302	
891	0.223072	
892	0.223023	
893	0.223049	
894	0.223	
895	0.222991	
896	0.222948	
897	0.223063	
898	0.223046	
899	0.223044	
900	0.222994	
901	0.222999	
902	0.222956	
903	0.222947	
904	0.222893	
905	0.222858	
906	0.222904	
907	0.222898	
908	0.222845	
909	0.222784	
910	0.222908	
911	0.222939	
912	0.222938	
913	0.222929	
914	0.22295	
915	0.22292	
916	0.222893	
917	0.222909	
918	0.222897	
919	0.222869	
920	0.222859	
921	0.222799	
922	0.22274	
923	0.222786	
924	0.222731	
925	0.222823	
926	0.222768	
927	0.222768	
928	0.222725	
929	0.222696	
930	0.222693	
931	0.222671	
932	0.222677	
933	0.222682	
934	0.222693	
935	0.222667	
936	0.222821	
937	0.222852	
938	0.222803	
939	0.222778	
940	0.222745	
941	0.222712	
942	0.22268	
943	0.222712	
944	0.222718	
945	0.222727	
946	0.222791	
947	0.222754	
948	0.222782	
949	0.222855	
950	0.22282	
951	0.222853	
952	0.22285	
953	0.22283	
954	0.222802	
955	0.222937	
956	0.222929	
957	0.222911	
958	0.222871	
959	0.222882	
960	0.222829	
961	0.222805	
962	0.222777	
963	0.222732	
964	0.222754	
965	0.222804	
966	0.222786	
967	0.222752	
968	0.222778	
969	0.222773	
970	0.222817	
971	0.222784	
972	0.222835	
973	0.22282	
974	0.22279	
975	0.222934	
976	0.222961	
977	0.222991	
978	0.222976	
979	0.222974	
980	0.223049	
981	0.223047	
982	0.223058	
983	0.223021	
984	0.22297	
985	0.222932	
986	0.222904	
987	0.222953	
988	0.22296	
989	0.222913	
990	0.22286	
991	0.222821	
992	0.222835	
993	0.222864	
994	0.222876	
995	0.222846	
996	0.222983	
997	0.223007	
998	0.22311	
999	0.223099	
1000	0.223145	
1001	0.223256	
1002	0.223273	
1003	0.223281	
1004	0.223326	
1005	0.223287	
1006	0.2233	
1007	0.223274	
1008	0.223316	
1009	0.223288	
1010	0.223253	
1011	0.223302	
1012	0.223248	
1013	0.223226	
1014	0.223179	
1015	0.22314	
1016	0.223087	
1017	0.223033	
1018	0.222988	
1019	0.222941	
1020	0.222905	
1021	0.22288	
1022	0.222827	
1023	0.222845	
1024	0.222877	
1025	0.222825	
1026	0.222834	
1027	0.222811	
1028	0.222785	
1029	0.222738	
1030	0.222693	
1031	0.22264	
1032	0.222613	
1033	0.222647	
1034	0.222697	
1035	0.222692	
1036	0.222643	
1037	0.222588	
1038	0.222543	
1039	0.22253	
1040	0.222533	
1041	0.222502	
1042	0.222476	
1043	0.222426	
1044	0.222401	
1045	0.222395	
1046	0.222381	
1047	0.222415	
1048	0.222429	
1049	0.2224	
1050	0.222389	
1051	0.222341	
1052	0.222304	
1053	0.222252	
1054	0.222287	
1055	0.222278	
1056	0.22231	
1057	0.222264	
1058	0.222298	
1059	0.222289	
1060	0.222266	
1061	0.222282	
1062	0.222249	
1063	0.222204	
1064	0.222269	
1065	0.222326	
1066	0.222327	
1067	0.222309	
1068	0.222307	
1069	0.222303	
1070	0.222318	
1071	0.222289	
1072	0.22225	
1073	0.222261	
1074	0.222249	
1075	0.222263	
1076	0.222259	
1077	0.222266	
1078	0.222243	
1079	0.222206	
1080	0.222186	
1081	0.222262	
1082	0.222375	
1083	0.222424	
1084	0.2224	
1085	0.222366	
1086	0.222365	
1087	0.222397	
1088	0.222377	
1089	0.222388	
1090	0.22248	
1091	0.222473	
1092	0.222447	
1093	0.222476	
1094	0.222518	
1095	0.222484	
1096	0.222453	
1097	0.222449	
1098	0.222555	
1099	0.222508	
1100	0.222467	
1101	0.22243	
1102	0.222459	
1103	0.222416	
1104	0.222405	
1105	0.222371	
1106	0.222321	
1107	0.222283	
1108	0.22232	
1109	0.222279	
1110	0.222325	
1111	0.222332	
1112	0.222314	
1113	0.222278	
1114	0.222235	
1115	0.222208	
1116	0.22218	
1117	0.222139	
1118	0.222162	
1119	0.222237	
1120	0.22221	
1121	0.222171	
1122	0.222185	
1123	0.222159	
1124	0.2222	
1125	0.222196	
1126	0.22221	
1127	0.22222	
1128	0.222169	
1129	0.222123	
1130	0.222097	
1131	0.222131	
1132	0.222143	
1133	0.222113	
1134	0.222096	
1135	0.222075	
1136	0.222034	
1137	0.222051	
1138	0.222044	
1139	0.222002	
1140	0.222017	
1141	0.222057	
1142	0.222058	
1143	0.222014	
1144	0.222005	
1145	0.222011	
1146	0.222032	
1147	0.222058	
1148	0.222105	
1149	0.222113	
1150	0.222097	
1151	0.2221	
1152	0.22209	
1153	0.222077	
1154	0.222028	
1155	0.222	
1156	0.221962	
1157	0.221936	
1158	0.221893	
1159	0.221918	
1160	0.221961	
1161	0.221968	
1162	0.221929	
1163	0.221932	
1164	0.221899	
1165	0.221868	
1166	0.221845	
1167	0.221951	
1168	0.221955	
1169	0.221944	
1170	0.221914	
1171	0.221915	
1172	0.221896	
